SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,35000,OPTIDX,0,BANKNIFTY-Jun2024-53800-CE,15,BANKNIFTY 19 JUN 53800 CALL,19-06-2024 14:30,53800,CE,5,W,OP,,
NSE,D,35001,OPTIDX,0,BANKNIFTY-Jun2024-53800-PE,15,BANKNIFTY 19 JUN 53800 PUT,19-06-2024 14:30,53800,PE,5,W,OP,,
NSE,D,35002,OPTIDX,0,BANKNIFTY-Jun2024-53900-CE,15,BANKNIFTY 19 JUN 53900 CALL,19-06-2024 14:30,53900,CE,5,W,OP,,
NSE,D,35003,OPTIDX,0,BANKNIFTY-Jun2024-53900-PE,15,BANKNIFTY 19 JUN 53900 PUT,19-06-2024 14:30,53900,PE,5,W,OP,,
NSE,D,35008,OPTIDX,0,BANKNIFTY-Jun2024-63000-CE,15,BANKNIFTY 19 JUN 63000 CALL,19-06-2024 14:30,63000,CE,5,W,OP,,
NSE,D,35009,OPTIDX,0,BANKNIFTY-Jun2024-63000-PE,15,BANKNIFTY 19 JUN 63000 PUT,19-06-2024 14:30,63000,PE,5,W,OP,,
NSE,D,35023,OPTIDX,0,BANKNIFTY-Jun2024-32500-CE,15,BANKNIFTY 19 JUN 32500 CALL,19-06-2024 14:30,32500,CE,5,W,OP,,
NSE,D,35024,OPTIDX,0,BANKNIFTY-Jun2024-32500-PE,15,BANKNIFTY 19 JUN 32500 PUT,19-06-2024 14:30,32500,PE,5,W,OP,,
NSE,D,35034,OPTIDX,0,BANKNIFTY-Jun2024-33000-CE,15,BANKNIFTY 19 JUN 33000 CALL,19-06-2024 14:30,33000,CE,5,W,OP,,
NSE,D,35035,OPTIDX,0,BANKNIFTY-Jun2024-33000-PE,15,BANKNIFTY 19 JUN 33000 PUT,19-06-2024 14:30,33000,PE,5,W,OP,,
